,0
0,"5300 Indio Cir, Austin, TX 78745, USA"
1,"11300 Robert Wooding Dr, Austin, TX 78748, USA"
2,160510311
3,172000579
4,"1702 Summit View Pl, Austin, TX 78703, USA"
5,"200 Lavaca St, Austin, TX 78701, USA"
6,"1800 Colony Creek Dr, Austin, TX 78758, USA"
7,"6400 Sandshof Dr, Austin, TX 78724, USA"
8,"5000 Old Manor Rd, Austin, TX 78723, USA"
9,"700 Dawson Rd, Austin, TX 78704, USA"
10,172200004
11,"1000 Meadows Dr S, Austin, TX 78758, USA"
12,"2200 Burton Dr, Austin, TX 78741, USA"
13,"Shady Ln, Austin, TX, USA"
14,"9300 Manchaca Rd, Austin, TX 78748, USA"
15,"1700 Barton Springs Rd, Austin, TX 78704, USA"
16,"5400 Overbrook Dr, Austin, TX 78723, USA"
17,"411 W Martin Luther King Jr Blvd, Austin, TX 78701, USA"
18,"1200 Montopolis Dr, Austin, TX 78741, USA"
19,120330618
20,"6711 E Ben White Blvd, Austin, TX 78744, USA"
21,"300 E 6th St, Austin, TX 78701, USA"
22,152990182
23,"3516 Presidential Blvd, Austin, TX 78719, USA"
24,"10300 Jollyville Rd, Austin, TX 78759, USA"
25,"8800 McCann Dr, Austin, TX 78757, USA"
26,"1100 Rutherford Ln, Austin, TX 78752, USA"
27,"1300 Lavaca St, Austin, TX 78701, USA"
28,"100 W Slaughter Ln, Austin, TX 78748, USA"
29,"6100 Buffalo Pass, Austin, TX 78745, USA"
30,"1400 Woodland Ave, Austin, TX 78704, USA"
31,"800 Rutland Dr, Austin, TX 78758, USA"
32,"6700 US-290, Austin, TX 78735, USA"
33,"1100 W Live Oak St, Austin, TX 78704, USA"
34,133290078
35,140820969
36,"4900 Teri Rd, Austin, TX 78744, USA"
37,163541215
38,"1900 E Martin Luther King Jr Blvd, Austin, TX 78702, USA"
39,"300 E 6th St, Austin, TX 78701, USA"
40,162710438
41,151960869
42,"9800 Middle Fiskville Rd, Austin, TX 78752, USA"
43,"2500 W Slaughter Ln, Austin, TX 78748, USA"
44,"2100 Kramer Ln, Austin, TX 78758, USA"
